Active Status,Type,Item,Description,Preferred Vendor,Height,Width,Depth,MERV,MERV Value,Classification,Category_ID,
Active,Non-inventory Part,T90 1/1 - 8P,Viledon  24x24x26  85%  8Pocket,"Freudenberg Filtration Technologies, L.P.",24,24,26,85%,13,f,2,
Active,Non-inventory Part,TP-SOCK-GTC,Pre-filter sock for TurboPulse GTC style filters,AFC Manufacturing,,,,,,f,16,
Active,Non-inventory Part,TP-WRAP-26-CON,"Pre-filter wrap for 26"" Turbopulse Conical Filters w/out Velcro Strap",AFC Manufacturing,,,,,,f,16,
Active,Non-inventory Part,TP-WRAP-26-CYN,"Pre-filter wrap for 26"" Turbopulse Cylindrical Filters w/out Velcro Strap",AFC Manufacturing,,,,,,f,7,
Active,Non-inventory Part,TP-WRAP-26V-CON,"Pre-filter wrap for 26"" Turbopulse Conical Filters with Velcro Strap",AFC Manufacturing,,,,,,f,16,
Active,Non-inventory Part,TP-WRAP-26V-CYN,"Pre-filter wrap for 26"" Turbopulse Cylindrical Filters with Velcro Strap",AFC Manufacturing,,,,,,f,7,
Active,Non-inventory Part,TPA-020,Plastic Bracket for Pre-Filter for 24.24.4,"W.L Gore & Associates, Inc",,,,,,f,16,
Active,Non-inventory Part,TPP-010,G2 Pre-Filter Wrap 24.24.4,AFC Manufacturing,,,,,,f,16,
Active,Non-inventory Part,TPV-002,"TPV002 V Panels 16"" Deep 24x24x16 H12","W.L Gore & Associates, Inc",24,24,16,,,f,14,
Active,Non-inventory Part,Travel Expense,Sales TaxTravel Expense,MISC,,,,,,s,16,
Active,Non-inventory Part,UF3201NSD,"UF3201NSD Uniflow Series Single Cartridge Liquid Vessel, 300 psi, 20""..Length, 1"" FNPT, 316SS MOC..","Precision Filter Products, LLC",,,,,,f,5,
Active,Non-inventory Part,ULPA,ULPA,"Wetzel Technologies Co., Ltd",,,,,,f,10,
Active,Non-inventory Part,UVC,,Hilliard Corporation,,,,,,f,16,
Active,Non-inventory Part,V-CUBE 202515,V-CUBE 20x25x15,AFC Manufacturing,20,25,15,,,f,16,
Active,Non-inventory Part,V-SOCK-2V1224,2V SOCK 12x24x12 V-Bank Filters,AFC Manufacturing,12,24,12,,,f,4,
Active,Non-inventory Part,V-SOCK-2V2424,2V SOCK 24x24x12 V-Bank Filters,AFC Manufacturing,24,24,12,,,f,4,
Active,Non-inventory Part,V-SOCK-4V1224,4V SOCK 12x24x12 V-Bank Filters,AFC Manufacturing,12,24,12,,,f,4,
Active,Non-inventory Part,V-SOCK-4V2024,4V SOCK 20x24x12 V-Bank Filters,AFC Manufacturing,20,24,12,,,f,4,
Active,Non-inventory Part,V-SOCK-4V2424,4V SOCK 24x24x12 V-Bank Filters,AFC Manufacturing,24,24,12,,,f,4,
Active,Non-inventory Part,VABORSORB,,RSE Incorporated,,,,,,a,16,
Active,Non-inventory Part,Vacuum Mesh,"Vacuum Underlayment Mesh; 72"" wide x LF;",MISC,,,,,,a,16,
Active,Non-inventory Part,VEE-CUBE,VEE CUBE,Glasfloss Industries,,,,,,f,16,
Active,Non-inventory Part,VEE-CUBE 1/1,VEE CUBE for 24x24x12 F7/F8,Glasfloss Industries,24,24,12,,,f,16,
Active,Non-inventory Part,VEE-CUBE 1/1-R,"Reverse VEE CUBE for 24x24x12 F7/F8 , w/Extra Flaps on each side",Glasfloss Industries,24,24,12,,,f,16,
Active,Non-inventory Part,VEE-CUBE 1/2,VEE CUBE for 12x24x12 F7/F8,Glasfloss Industries,12,24,12,,,f,16,
Active,Non-inventory Part,VEE-CUBE 1/2-R,Reverse VEE CUBE for 12x24x12 F7/F8 w/ Extra Flaps on each side,Glasfloss Industries,12,24,12,,,f,16,
Active,Non-inventory Part,VEE-SOCK 1/1,24x24x12 MV/RP Moisture Coalescer,AFC Manufacturing,24,24,12,,,f,16,
Active,Non-inventory Part,VEE-SOCK 1/2,12x24x12 MV/RP Moisture Coalescer,AFC Manufacturing,12,24,12,,,f,16,
Active,Non-inventory Part,VEE-SOCK 5/6,20x24x12  MV/RP Moisture Coalesce,AFC Manufacturing,20,24,12,,,f,16,
Active,Non-inventory Part,VERSA � M 2�,Part #11S000008 VERSA � M 2�,EFC International,,,,,,f,16,
Active,Non-inventory Part,VF80M,VORTOX A 061085-C,Fluitek Corporation. (PAID BY CC),,,,,,f,16,
Active,Non-inventory Part,W 70X Paint Mist,"W 70X Secondary Separator 26.8""x23.3""x23.6""  (682x592x600) 9-Pocket  DownStream Gasket;  Plastic Frame","Wetzel Technologies Co., Ltd",26.8,23.3,23.6,,,f,2,
Active,Non-inventory Part,XP-L-2100E,"XP-L-2100E..Parker XtreamPure Pleated Polypropylene Cartridge, 10 Micron, 6.2"" OD..x 20"" Length, Polypropylene Cage and End Caps, EPDM Seal, Temp..Limit: 180� F","Precision Filter Products, LLC",,,,,,f,5,
Not-active,Non-inventory Part,ZII-NT303664,"Twill Tape 1"" White Cotton (China) 50YDS per roll",Glasfloss Industries,,,,,,m,16,
Active,Non-inventory Part,ZLN-SPECIAL,Special Carbon Impregnated Pleat,Glasfloss Industries,,,,,,f,13,
Active,Non-inventory Part,ZLN162564AC,16x25x6 Cabrotron Pleat,Glasfloss Industries,16,25,6,,,f,13,
Active,Non-inventory Part,ZLN202564AC,20x25x6 Carbotron Pleat,Glasfloss Industries,20,25,6,,,f,13,
Active,Non-inventory Part,ZLP-SPECIAL,Special Standard Capacity Pleat,Glasfloss Industries,,,,,,f,13,
Active,Non-inventory Part,ZLP22271SP,"22x27x1 MERV10 Standard Capacity Pleat, Special",Glasfloss Industries,22,27,1,MERV10,10,f,13,
Active,Non-inventory Part,ZPK2424695HO,24x24x6 Rigid Box Filter 95% Fiberglass HEADER,Glasfloss Industries,24,24,6,95%,16,f,3,
Active,Non-inventory Part,ZPS-SPECIAL,Special Synthetic Rigid Box Filter,Glasfloss Industries,,,,,,f,3,
Active,Non-inventory Part,ZPS122412-85H,12x24x12 Synthetic Media 85% Rigid Box Filter Headered,Glasfloss Industries,12,24,12,85%,13,f,3,
