Item,Description,Preferred Vendor #,height,width,depth,Category #,merv_rating
1830-5050WW-P,18x30 2-Ply Panel,4,18,30,,14,1
1837-2ply,18x37 2-Ply Poly Panel,4,18,37,,14,4
1921-5050WW-P,19x21 Poly Panels 2 ply,4,19,21,,14,14
2020-2ply,20x20 2-Ply Poly Panel,4,20,20,,14,16
2020-3ply,20x20 3-Ply Poly Panel,4,20,20,,14,4
2022-2ply,20x22 2-Ply Poly Panel,4,20,22,,14,9
2022-3ply,2022-3ply Poly Panel,4,20,22,,14,11
2022-5050WW-P,20x22 2-Ply Panel,4,20,22,,14,11
2024-2Ply,20x24 2-Ply Poly Panel,4,20,24,,14,9
2024-3ply,20x24 3-Ply Poly Panel,4,20,24,,14,15
2024-5050WW-P,20x24 Poly Panel 2 Ply,4,20,24,,14,5
2025-2ply,20x25 2-Ply Poly Panel,4,20,25,,14,6
2025-3ply,20x25 3-Ply Poly Panel,4,20,25,,14,3
2025-5050WW-P,20x25 Poly Panels 2 Ply,4,20,25,,14,9
2026-2ply,20x26 2-Ply Poly Panel,4,20,26,,14,2
2029-3ply,20.5x29.25 3-Ply Poly Panel,4,20.5,29.25,,14,11
2030-2Ply,20x30 2-Ply Poly Panel,4,20,30,,14,13
2030-2Ply FB Gold Panel,20x30 2-Ply Gold Panel,6,20,30,,14,5
2030-3Ply,20x30 - 3 Ply Poly Panel,4,20,30,,14,12
2030-5050WW-P,20x30 2-Ply Panel,4,20,30,,14,8
2032-2Ply,20x32 2Ply Poly Panel,4,20,32,,14,1
2032-3Ply,2032 - 3 Ply Poly Panel,4,,,,14,15
2036-2ply,20x36 2-Ply Poly Panel,4,20,36,,14,9
2036-3ply,20x36 3-Ply Poly Panel,4,20,36,,14,3
2040-2Ply,20x40 2-Ply Poly Panel,4,20,40,,14,5
2040-3Ply,20x40 3 Ply Poly Panel,4,20,40,,14,6
2040W-2PLY-2L,20x40 2 Ply Poly Panel,4,20,40,,14,3
2050-2Ply,20x50 2-Ply Poly Panel,4,20,50,,14,14
2050-3Ply,20x50 3-Ply Poly Panel,4,20,50,,14,14
2060-2Ply,20x60 2-Ply Poly Panel,4,20,60,,14,4
2060-3Ply,20x60 3-Ply Poly Panel,4,20,60,,14,4
2072-2ply,20x72 2-Ply Poly Panel,4,20,72,,14,4
2072-3ply,20x72 3-Ply Poly Panel,4,20,72,,14,16
2075-2Ply,20x75 2-Ply Poly Panel,4,20,75,,14,14
2075W-2PLY-3L,20x75 2 Ply Poly Panel,4,20,75,,14,1
2075W-3PLY-3L,20x75 3 Ply Poly Panel,4,20,75,,14,5
2080-2ply,20x80 2-Ply Poly Panel,4,20,80,,14,3
2121-2ply,21x21 2-Ply Poly Panel,4,21,21,,14,2
2121-3ply,21x21 3-Ply Poly Panel,4,21,21,,14,10
2123-2ply,21x23 1/2 2-Ply Poly Panel,4,21,23.5,,14,7
2123-3ply,21x23 1/2 3-Ply Poly Panel,4,21,23.5,,14,15
2224-2PLY,22x24 2-Ply Panel,4,22,24,,14,15
2226-2ply,22x26 2-Ply Poly Panel,4,22,26,,14,7
24105-2Ply,24x105 2-Ply Poly Panel,4,24,105,,14,3
24110-2ply,24x110 2Ply Poly Panel,4,24,110,,14,3
24110-3ply,24x110 3-Ply Poly Panel,4,24,110,,14,1
24120-3ply,24x120 3-Ply Poly Panel,4,24,120,,14,4
24120W-3PLY-5L,24x120 3 Ply Poly Panel,4,24,120,,14,5
24140W-2PLY-7L,24x140 2 Ply Poly Panel,4,24,140,,14,5
24140W-3PLY-7L,24x140 3 Ply Poly Panel,4,24,140,,14,12
24144-2PLY-6L,24x144 2 Ply Poly Panel,4,24,144,,14,11
24144-3PLY-6L,24x144 3 Ply Poly Panel,4,24,144,,14,1
24192W-2PLY-6L,24x192 2 Ply Poly Panel,4,24,192,,14,10
24192W-3PLY-6L,24x192 3 Ply Poly Panel,4,24,192,,14,15
2424-2ply,24x24 2-Ply Poly Panel,4,24,24,,14,14
2424-3ply,24x24 3-Ply Poly Panel,4,24,24,,14,2
2424-5050WW-P,24x24 Poly Panels 2 Ply,4,24,24,,14,5
2424W-3PLY-P,24x24-  3 Ply Poly Panels,4,24,24,,14,7
2430-2ply,24x30 2-Ply Poly Panel,4,24,30,,14,5
2435-2ply,24 1/2 x 35 1/2  2-Ply Poly Panel,4,24.5,35.5,,14,6
2448-2ply,24x48 2 Ply Poly Panel,4,24,48,,14,10
2448W - 3PLY - 2L,24x48 3 Ply Poly Panel,4,24,48,,14,9
2460-2Ply,24x60 2-Ply Poly Panel,4,24,60,,14,15
2460-3Ply,24x60 3-Ply Poly Panel Special,4,24,60,,14,12
2472-3Ply,24x72 3-Ply Poly Panel Special,4,24,72,,14,3
2484-3ply,24x84 3-Ply Poly Panel,4,24,84,,14,13
2496-2ply,24x96 2Ply Poly Panel,4,24,96,,14,12
2496-3Ply,24x96 3-Ply Poly Panel Special,4,24,96,,14,8
251/2361/2-2ply,24 1/2 x 35 1/2  2-Ply Poly Panel,4,24.5,35.5,,14,5
25100-2ply,25x100  2-Ply Poly Panel,4,25,100,,14,4
2525-2Ply,25x25 2-Ply Panel,4,25,25,,14,5
2525-3ply,25x25 3-Ply Poly Panel,4,25,25,,14,2
2527-2Ply,25x27 2-Ply Panel,4,25,27,,14,16
2527-5050WW-P,25x27 2-Ply Panel,4,25,27,,14,7
2530-2ply,25x30 MZP 2-Ply Poly Panel,4,25,30,,14,14
2532-2ply,25x32 2ply Poly Panel,4,25,32,,14,8
2532-3ply,25x32-3ply Poly Panel,4,25,32,,14,5
2548-2ply,25x48 2 Ply Poly Panel,4,25,48,,14,10
2548-3ply,25x48 3-Ply Poly Panel,4,25,48,,14,13
2552-2ply,25x52 2ply Poly Panel,4,25,52,,14,12
2552-3Ply,25x52 3-Ply Poly Panel Special,4,25,52,,14,13
2560-2ply,25x60 2-Ply Poly Panel,4,25,60,,14,1
2560-3ply,25x60 3-Ply Poly Panel,4,25,60,,14,8
2575-2ply,25x75 2-Ply Poly Panel,4,25,75,,14,5
2590-2PLY-5L,25x90 2-Ply Poly Panel,4,25,90,,14,9
2596W-2PLY-4L,25x96 2 Ply Poly Panel,4,25,96,,14,9
2596W-3PLY-4L,25x96 3 Ply Poly Panel,4,25,96,,14,15
2634-2Ply,26x34 2-Ply Poly Panel,4,26,34,,14,10
280001224,12x24 2-Ply FB Gold Panel,6,12,24,,14,7
280001625,16x25 2-Ply Gold Panel,6,16,25,,14,13
280002020,20x20 2-Ply Gold Panel,6,20,20,,14,10
280002024,20x24 2-Ply Gold Panel,6,20,24,,14,16
280002025,20x25 2-Ply Gold Panel,6,20,25,,14,6
280002424,24x24 2-Ply Gold Panel,6,24,24,,14,13
2829-3ply,28.5x29.5 3-Ply Poly Panel,4,28.5,29.5,,14,14
3045-3ply,30x45 3-Ply Poly Panel,4,30,45,,14,6
4040-2ply,40x40 2-Ply Poly Panel,4,40,40,,14,12
4250-2Ply,42x50 2-Ply Poly Panel,4,42,50,,14,10
810-2ply,8x10 2-Ply Poly Panel,4,8,10,,14,15
