Item,Description,Preferred Vendor,Size_Matched_Text,Height,Width,Depth,MERV,MERV Value,Classification
M1320371SP,20x37x1 MERV 13 Pleated Filter,Glasfloss Industries,20x37x1,20.0,37.0,1.0,MERV 13,13.0,air_filter
M1320401SP,20x40x1 MERV 13 Pleated Filter,Glasfloss Industries,20x40x1,20.0,40.0,1.0,MERV 13,13.0,air_filter
M1320561SP,20x56x1 MERV 13 Pleated Filter,Glasfloss Industries,20x56x1,20.0,56.0,1.0,MERV 13,13.0,air_filter
M1321211SP,21x21x1 MERV 13 Pleated Filter,Glasfloss Industries,21x21x1,21.0,21.0,1.0,MERV 13,13.0,air_filter
M1321301SP,21x30x1 MERV 13 Pleated Filter,Glasfloss Industries,21x30x1,21.0,30.0,1.0,MERV 13,13.0,air_filter
M1321302SP,21x30x2 Special MERV 13 Pleated Filter,Glasfloss Industries,21x30x2,21.0,30.0,2.0,MERV 13,13.0,air_filter
M1322221SP,22x22x1 MERV 13 Pleated Filter,Glasfloss Industries,22x22x1,22.0,22.0,1.0,MERV 13,13.0,air_filter
M1322241SP,22x24x1 MERV 13 Pleated Filter,Glasfloss Industries,22x24x1,22.0,24.0,1.0,MERV 13,13.0,air_filter
M1323231SP,23x23x1 MERV 13 Pleated Filter,Glasfloss Industries,23x23x1,23.0,23.0,1.0,MERV 13,13.0,air_filter
M1323234SP,23x23x4 Special MERV 13 Pleated Filter,Glasfloss Industries,23x23x4,23.0,23.0,4.0,MERV 13,13.0,air_filter
M1324194SP,24 3/8x19 3/8x4  MERV 13 Pleated Filter,Glasfloss Industries,24 3/8x19 3/8x4 ,24.375,19.375,4.0,MERV 13,13.0,air_filter
M1324241,24x24x1 MERV 13 Pleated Filter,Glasfloss Industries,24x24x1,24.0,24.0,1.0,MERV 13,13.0,air_filter
M1324242,24x24x2 MERV 13 Pleated Filter,Glasfloss Industries,24x24x2,24.0,24.0,2.0,MERV 13,13.0,air_filter
M1324244,24x24x4 MERV 13 Pleated Filter,Glasfloss Industries,24x24x4,24.0,24.0,4.0,MERV 13,13.0,air_filter
M1324254,24x25x4 MERV 13 Pleated Filter,Glasfloss Industries,24x25x4,24.0,25.0,4.0,MERV 13,13.0,air_filter
M1324301,24x30x1 MERV 13 Pleated Filter,Glasfloss Industries,24x30x1,24.0,30.0,1.0,MERV 13,13.0,air_filter
M1325251,25x25x1 MERV 13 Pleated Filter,Glasfloss Industries,25x25x1,25.0,25.0,1.0,MERV 13,13.0,air_filter
M1325252,25x25x2 MERV 13 Pleated Filter,Glasfloss Industries,25x25x2,25.0,25.0,2.0,MERV 13,13.0,air_filter
M1325254SP,25x25x4 MERV 13 Pleated Filter,Glasfloss Industries,25x25x4,25.0,25.0,4.0,MERV 13,13.0,air_filter
M1325321SP,25x32x1 MERV 13 Pleated Filter,Glasfloss Industries,25x32x1,25.0,32.0,1.0,MERV 13,13.0,air_filter
M1325322SP,25x32x2 MERV 13 Pleated Filter,Glasfloss Industries,25x32x2,25.0,32.0,2.0,MERV 13,13.0,air_filter
M1325381SP,25x38x1 MERV 13 Pleated Filter,Glasfloss Industries,25x38x1,25.0,38.0,1.0,MERV 13,13.0,air_filter
M1325601SP,25x60x1 MERV 13 Pleated Filter,Glasfloss Industries,25x60x1,25.0,60.0,1.0,MERV 13,13.0,air_filter
M1327281SP,27x28x1 MERV 13 Pleated Filter,Glasfloss Industries,27x28x1,27.0,28.0,1.0,MERV 13,13.0,air_filter
M1328301SP,28x30x1 MERV 13 Pleated Filter,Glasfloss Industries,28x30x1,28.0,30.0,1.0,MERV 13,13.0,air_filter
M1328302SP,28x30x2 Special MERV 13 Pleated Filter,Glasfloss Industries,28x30x2,28.0,30.0,2.0,MERV 13,13.0,air_filter
M1328561SP,28x56x1 MERV 13 Pleated Filter,Glasfloss Industries,28x56x1,28.0,56.0,1.0,MERV 13,13.0,air_filter
M1329291SP,29x29x1 MERV 13 Pleated Filter,Glasfloss Industries,29x29x1,29.0,29.0,1.0,MERV 13,13.0,air_filter
